,organisation,records lost,year,story,sector,method,data sensitivity
1,Plex,"15,000,000",2022,"Intruders access password data, usernames, and emails for at least half of its 30 million users.",web ,hacked,1
2,Twitter,"5,400,000",2021,"Zero day vulnerability allowed a threat actor to create profiles of 5.4 million Twitter users inc. a verified phone number or email address, and scraped public information, such as follower counts, screen name, login name, etc",web,hacked,2
3,Shanghai Police,"500,000,000",2022,"A database containing records of over a billion Chinese civilians – allegedly stolen from the Shanghai Police. Addresses, police records and national ID numbers. Potentially one of the largest data breaches in history. Details repressed and censored by Chinese media.",financial,hacked,5
4,"City of Amagasaki, Japan","500,000",2022,An unnamed government official lost his bag after a night's drinking. It contained a USB stick with sensitive data of the entire city's residents. USB stick was encrypted and passworded.,government,oops!,3
5,Dubai Real Estate Leak,"800,000",2022,"Data leak exposes how criminals, officials, and sanctioned politicians poured money into Dubai real estate including more than 100 members of Russia's political elite, public officials, or businesspeople close to the Kremlin, as well as dozens of Europeans implicated in money laundering and corruption",financial,inside job,1
6,Heroku,"50,000",2022,"A compromised token was used by attackers to exfiltrate customers' hashed and salted passwords from ""a database."" on the Salesforce-owned cloud platform.",tech,hacked,2
7,Mailchimp,"106,586",2022,Hackers gained access to internal customer support and account management tools of the email marketing company to steal audience data and conduct phishing attacks.,tech,hacked,1
8,PayHere,"1,580,249",2022,"Sri Lankan payment gateway PayHere suffered a data breach exposing more than 65GB of payment records including over 1.5M unique email addresses. (IP and physical addresses, names, phone numbers, purchase histories and partially obfuscated credit card data (card type, first 6 and last 4 digits plus expiry date).",financial,hacked,3
9,CDEK,"18,218,203",2022,"UNVERIFIED. Russian courier service CDEK was hacked by Ukrainian hacker group ""IT Army"" - including 19M unique email addresses along with names and phone numbers.",retail,hacked,3
10,Washington State Dpt of Licensing,"257,000",2022,The Washington State Department of Licensing said the personal information of potentially millions of licensed professionals may have been exposed after it detected suspicious activity on its online licensing system.,government,hacked,3
11,Red Cross,"500,000",2022,"A network intrusion at the International Committee for the Red Cross (ICRC) in January led to the theft of personal information on more than 500,000 people receiving assistance from the group. KrebsOnSecurity has learned that the email address used by a cybercriminal actor who offered to sell the stolen ICRC data also was used to register multiple domain names the FBI says are tied to a sprawling media influence operation originating from Iran.",NGO,hacked,4
12,Open Subtitles,"100,000",2022,,web,hacked,1
13,FlexBooker,"3,700,000",2022,appointment scheduling service,web,hacked,3
14,LINE Pay,"133,000",2021,,financial,poor security ,2
15,Robinhood,"5,000,937",2021,"a malicious hacker had socially engineered a customer service representative over the phone November 3 to get access to customer support systems. That allowed the hacker to obtain customer names and email addresses, but also the additional full names, dates of birth and ZIP codes of 310 customers.",financial,hacked,2
16,GoDaddy,"1,200,000",2021,Security Incident Affecting Managed WordPress Servic,web,hacked,1
17,Travelio,"471,376",2021,"The Indonesian real estate website Travelio suffered a data breach of over 470k customer accounts. The data included email addresses, names, password hashes, phone numbers and for some accounts, dates of birth, physical address and Facebook auth tokens.",misc,hacked,2
18,Acer,"3,000,000",2021,,tech,hacked,1
19,Brewdog,"200,000",2021,"BrewDog, one of the world's largest craft beer brewers, has exposed personally identifiable information (PII) belonging to more than 200,000 of its shareholders and customers,",retail,poor security,1
20,Nvidia,"100,000",2021,,tech,hacked,2
21,Okta,"100,000",2021,Identity and access management provider Okta,tech,hacked,1
22,Experian SA,"24,000,000",2020,Handed over personal information of their South African customers to a fraudulent client.,web,oops!,3
23,Royal Enfield,"420,873",2020,"Motorcycle maker Royal Enfield left a database publicly exposed that resulted in the inadvertent publication of over 400k customers. (Email and physical addresses, names, motorcycle information, social media profiles, passwords, and other personal information)",transport,poor security,3
24,Avvo,"4,101,101",2019,"A data breach of the lawyer directory service released 4.1M unique email addresses alongside SHA-1 hashes, most likely representing user passwords.",legal,hacked,1
25,Aimware,"305,470",2019,"Video game cheats website ""Aimware"" suffered a data breach of subscribers' personal information (email and IP addresses, usernames, forum posts, private messages, website activity and passwords stored as salted MD5 hashes)",gaming,hacked,3
26,Twitch,"10,000,000",2021,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers. ",gaming,hacked,4
27,Syniverse,"500,000,000",2021,"""A company that is a critical part of the global telecommunications infrastructure used by AT&T, T-Mobile, Verizon and several others around the world such as Vodafone and China Mobile, quietly disclosed that hackers were inside its systems for years, impacting more than 200 of its clients and potentially millions of cellphone users worldwide.""",telecoms,hacked,4
28,Pandora Papers,"11,900,000",2021,"Millions of documents reveal offshore deals and assets of more than 100 billionaires, 30 world leaders and 300 public officials",government,hacked,4
29,Neiman Marcus,"4,600,000",2021,"Occurred sometime in May 2020 after ""an unauthorized party"" obtained the personal information of some Neiman Marcus customers from their online accounts.",retail,hacked,3
30,Epik,"15,000,000",2021,"An Internet-services company for concealing online identities, popular with the far right ",retail,hacked,5
31,Thailand visitors,"100,000,000",2021,Any foreigner who has travelled to Thailand in the last decade ‘might have had their information exposed’,government,poor security ,2
32,T-Mobile ,"76,000,000",2021,"Exposed the names, date of birth, Social Security number and driver’s license/ID information of more than 40 million current, former or prospective customers who applied for credit with the company. T-mobile paid a $500m settlement.",telecoms,hacked,3
33,Contact tracing data,"38,000,000",2021,"A thousand web apps mistakenly exposed 38 million records on the open internet, including data from a number of Covid-19 contact tracing platforms, vaccination sign-ups, job application portals, and employee databases.",telecoms,hacked,3
34,Estonian gov,"280,000",2021,"A hacker was able to obtain over 280,000 personal identity photos following an attack on the state information system last Friday.",government,hacked,4
35,Guntrader,"111,000",2021,"Criminals have hacked into a Gumtree-style website used for buying and selling firearms, making off with a 111,000-entry database containing names, mobile phone numbers, email addresses, user geolocation data, and more including bcrypt-hashed passwords used by gun shops across the UK.",retail,hacked,2
36,Linkedin,"700,000,000",2021,"The hacker appears to have misused the official LinkedIn API to scrape the data, the same method used in a similar breach back in April. User details, but no passwords.",web ,hacked,1
37,VW,"3,300,000",2021,"Phone numbers, email addresses and some sensitive credit data. Nearly all those impacted were current or potential customers of Audi, one of the German automaker's luxury brands",transport,hacked,2
38,MacDonalds,"10,000,000",2021,Unknown detail,retail,hacked,2
39,Air India,"4,500,000",2021,"Passenger’s name, date of birth, contact information, passport information, ticket information, frequent flyer data and credit card information.",transport,hacked,2
40,Omiai dating app,"1,710,000",2021,"Addresses and dates of birth from identification, including passports, drivers’ licenses and health insurance cards, provided to the company.",app,hacked,2
41,Amazon Reviews,"13,124,962",2021,Database exposing an organized fake reviews scam affecting Amazon. The server contained a treasure trove of direct messages between Amazon vendors and customers willing to provide fake reviews in exchange for free products,web,poor security ,2
42,Peloton,"3,000,000",2021,,tech,poor security ,2
44,Park Mobile,"21,000,000",2021,"Customer email addresses, dates of birth, phone numbers, license plate numbers, hashed passwords and mailing addresses.",transport,hacked,2
45,Ubiquiti,"16,000,000",2021,Unknown amount of user data breached,tech,hacked,2
46,Meet Mindful,"2,240,000",2021,"Dating site user data includes real names, phone numbers, Facebook account codes, latitude & longtitude. Thankfully private messages were not leaked.",tech,hacked,4
47,Experian Brazil,"220,000,000",2021,Details hazy,finance,hacked,2
48,Gab,"4,000,000",2021,"Over 70GB of data from the far-right social media site was hacked. Alll posts, messages, passwords from all users were breached.",tech,hacked,3
49,Star Alliance,"16,000,000",2021,"The Star Alliance of airlines including Singapore Airlines, Lufthansa and United, said on Thursday it had been the victim of a cyber attack leading to a breach of passenger data. Lufthansa, Cathay Pacific and Air New Zealand were also affected. Breached data was limited to ""name, tier status and membership number”",transport,hacked,1
50,Facebook,"533,000,000",2021,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,1
51,Ledger,"270,000",2020,A threat actor has leaked the stolen email and mailing addresses for Ledger cryptocurrency wallet users on a hacker forum for free.,finance,hacked,2
52,T-mobile,"200,000",2020,"The information exposed in this breach includes phone numbers, call records, and the number of lines on an account.",telecoms,hacked,1
53,The Hospital Group,"1,000,000",2020,Hackers compromised the plastic surgery firm and threatened to release over 900 gigabytes of private surgery photographs.,health ,hacked,4
54,SolarWinds,"50,000,000",2020,"Suspected Russian hackers compromised network monitoring software used by the Pentagon, intelligence agencies, nuclear labs and many Fortune 500 companies. A tainted software update acted as a trojan horse. An unknown number of companies and individuals might be affected.",app,hacked,3
55,Ho Mobile,"2,500,000",2020,"Italian mobile operator owned by Vodaphone is now taking the rare step of offering to replace the SIM cards of all affected customers. Data hacked full names, telephone numbers, social security numbers, email addresses, dates and places of birth, nationality, and home addresses.",telecoms,hacked,2
56,Spotify,"500,000",2020,Undisclosed number of users had their email addresses and passwords left open online. Spotify said the vulnerability existed as far back as April 9 but wasn’t discovered until November 12.,app,oops!,1
57,Drizly,"2,400,000",2020,"Alcohol delivery service hacked with email addresses, DOB, hashed passwords and some home addresses leaked. ",app,hacked,2
58,GEDmatch,"1,400,000",2020,DNA data on up to 1.4m users of this geneaology site may have been hacked.,"misc, health",hacked,5
59,Call of Duty / Activision,"500,000",2020,Login data for users of the popular video games may have compromised. Activision refutes the claim. ,gaming,hacked,1
